<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160216,000000,0.98666,0.98959,0.98472,0.98827,129637
20160217,000000,0.98819,0.99414,0.98528,0.99242,122626
20160218,000000,0.99242,0.99683,0.99045,0.99225,117865
20160219,000000,0.99264,0.99674,0.98883,0.98917,112614
20160222,000000,0.98939,1.00034,0.98851,0.99919,106579
20160223,000000,0.99934,1.00014,0.98951,0.99105,105546
20160224,000000,0.99102,0.99525,0.98527,0.98875,118698
20160225,000000,0.98871,0.99520,0.98777,0.99011,99412
20160226,000000,0.99010,0.99887,0.98712,0.99641,102626
20160229,000000,0.99726,1.00381,0.99486,0.99808,103974
20160301,000000,0.99806,1.00092,0.99600,0.99698,106654
20160302,000000,0.99696,1.00089,0.99551,0.99608,106043
20160303,000000,0.99637,0.99826,0.98918,0.99192,110408
20160304,000000,0.99192,0.99883,0.98790,0.99302,127248
20160307,000000,0.99258,1.00122,0.99258,0.99507,111460
20160308,000000,0.99507,0.99703,0.99015,0.99562,110101
20160309,000000,0.99562,1.00393,0.99394,0.99668,111694
20160310,000000,0.99680,1.00923,0.98099,0.98484,142201
20160311,000000,0.98486,0.98908,0.98028,0.98240,124426
20160314,000000,0.98272,0.98817,0.98160,0.98713,104349
20160315,000000,0.98714,0.98958,0.98491,0.98697,101058
20160316,000000,0.98697,0.99133,0.97502,0.97805,108562
20160317,000000,0.97804,0.97866,0.96509,0.96716,119183
20160318,000000,0.96719,0.97172,0.96547,0.96859,105844
20160321,000000,0.96961,0.97301,0.96752,0.97051,84147
20160322,000000,0.97051,0.97362,0.96884,0.97285,91837
20160323,000000,0.97288,0.97662,0.97249,0.97515,93254
20160324,000000,0.97515,0.97736,0.97370,0.97561,81628
20160325,000000,0.97561,0.97872,0.97511,0.97630,20238
20160328,000000,0.97656,0.97860,0.97227,0.97376,37061
20160329,000000,0.97345,0.97626,0.96577,0.96620,108683
20160330,000000,0.96620,0.96702,0.95927,0.96481,109588
20160331,000000,0.96481,0.96628,0.95714,0.96132,114142
20160401,000000,0.96132,0.96257,0.95492,0.95888,99647
20160404,000000,0.95767,0.96148,0.95705,0.95850,72638
20160405,000000,0.95828,0.96043,0.95463,0.95568,98588
20160406,000000,0.95568,0.96217,0.95305,0.95538,110348
20160407,000000,0.95538,0.95809,0.95217,0.95534,101406
20160408,000000,0.95536,0.95824,0.95251,0.95325,81815
20160411,000000,0.95289,0.95704,0.95024,0.95353,78959
20160412,000000,0.95351,0.95939,0.94989,0.95495,87156
20160413,000000,0.95435,0.96718,0.95422,0.96656,93566
20160414,000000,0.96660,0.96880,0.96376,0.96650,102522
20160415,000000,0.96650,0.96880,0.96480,0.96778,87513
20160418,000000,0.96488,0.96791,0.96279,0.96366,86536
20160419,000000,0.96377,0.96502,0.95845,0.96156,90656
20160420,000000,0.96156,0.97333,0.96026,0.97197,98550
20160421,000000,0.97197,0.97529,0.96474,0.97508,124786
20160422,000000,0.97508,0.97970,0.97321,0.97826,119869
20160425,000000,0.97864,0.97890,0.97362,0.97488,100603
20160426,000000,0.97471,0.97668,0.97005,0.97309,102641
20160427,000000,0.97336,0.97529,0.96794,0.97076,111699
20160428,000000,0.97073,0.97330,0.96565,0.96643,123597
20160429,000000,0.96641,0.96713,0.95673,0.95915,119849
20160502,000000,0.95741,0.96050,0.95351,0.95368,84336
20160503,000000,0.95370,0.95539,0.94441,0.95431,121834
20160504,000000,0.95429,0.95902,0.95326,0.95737,117104
20160505,000000,0.95730,0.96966,0.95683,0.96732,108200
20160506,000000,0.96732,0.97296,0.96488,0.97275,110903
20160509,000000,0.97224,0.97358,0.96839,0.97078,95485
20160510,000000,0.97076,0.97626,0.96984,0.97561,103672
20160511,000000,0.97562,0.97607,0.96986,0.97059,98866
20160512,000000,0.97062,0.97258,0.96633,0.97003,89353
20160513,000000,0.97003,0.97741,0.96980,0.97513,101388
20160516,000000,0.97467,0.97843,0.97415,0.97757,78790
20160517,000000,0.97757,0.98085,0.97512,0.98042,89343
20160518,000000,0.98030,0.98803,0.97965,0.98768,102244
20160519,000000,0.98767,0.99224,0.98625,0.99050,94156
20160520,000000,0.99062,0.99267,0.98962,0.98991,74725
20160523,000000,0.99057,0.99236,0.98832,0.98943,89310
20160524,000000,0.98922,0.99376,0.98882,0.99315,89204
20160525,000000,0.99304,0.99353,0.98964,0.99119,86516
20160526,000000,0.99119,0.99279,0.98719,0.98925,88306
20160527,000000,0.98925,0.99489,0.98852,0.99450,78254
20160530,000000,0.99428,0.99561,0.99198,0.99211,51228
20160531,000000,0.99212,0.99509,0.98864,0.99335,94649
20160601,000000,0.99331,0.99510,0.98609,0.98809,105190
20160602,000000,0.98794,0.99107,0.98585,0.98992,101366
20160603,000000,0.98992,0.99200,0.97518,0.97528,109622
20160606,000000,0.97637,0.97758,0.96821,0.97037,98287
20160607,000000,0.97044,0.97138,0.96449,0.96481,79143
20160608,000000,0.96473,0.96590,0.95811,0.95914,79806
20160609,000000,0.95911,0.96561,0.95779,0.96444,84814
20160610,000000,0.96444,0.96577,0.96164,0.96362,98444
