<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171022,000000,1278.47,1283.65,1263.73,1273.60,1281571
20171029,000000,1273.52,1284.10,1265.44,1269.77,1166814
20171105,000000,1269.23,1288.59,1266.10,1275.31,1230994
20171112,000000,1274.95,1296.96,1269.97,1293.83,1259652
20171119,000000,1292.48,1294.83,1274.61,1288.37,1093815
20171126,000000,1288.72,1299.23,1270.37,1280.26,1357907
20171203,000000,1274.52,1277.16,1243.58,1248.63,1148175
20171210,000000,1247.03,1261.84,1236.50,1254.98,990128
20171217,000000,1253.81,1276.20,1252.74,1274.73,886984
20171224,000000,1278.35,1307.58,1277.04,1303.72,566326
20171231,000000,1309.93,1325.99,1305.88,1319.44,698524
20180107,000000,1321.15,1339.36,1308.17,1337.44,1056089
20180114,000000,1335.40,1344.71,1324.25,1331.40,1159830
20180121,000000,1333.61,1366.07,1328.42,1349.53,1323956
20180128,000000,1349.01,1352.39,1327.44,1332.77,1418763
20180204,000000,1331.89,1346.08,1307.06,1315.87,2002191
20180211,000000,1314.92,1361.71,1314.16,1346.97,1432151
20180218,000000,1346.98,1351.38,1320.92,1328.71,1162099
20180225,000000,1327.85,1341.08,1302.77,1322.34,1381521
20180304,000000,1323.83,1340.52,1312.83,1323.23,1366457
20180311,000000,1323.77,1330.01,1309.62,1313.96,1176015
20180318,000000,1313.38,1350.22,1307.17,1347.14,1367166
20180325,000000,1347.67,1356.86,1321.21,1325.24,1088262
20180401,000000,1324.62,1348.23,1319.80,1333.39,1316619
20180408,000000,1333.86,1365.21,1326.83,1345.00,1391648
20180415,000000,1345.80,1355.69,1334.94,1335.62,1247623
20180422,000000,1333.88,1335.50,1314.88,1323.25,1206577
20180429,000000,1322.38,1325.29,1301.73,1315.03,1050304
20180506,000000,1314.76,1325.91,1304.28,1318.03,1215133
20180513,000000,1318.09,1322.33,1285.13,1292.18,1146130
20180520,000000,1290.49,1307.74,1281.99,1301.27,1187510
20180527,000000,1299.58,1306.87,1289.29,1293.60,1305633
20180603,000000,1292.49,1303.10,1289.77,1299.10,1102905
20180610,000000,1299.82,1309.29,1275.39,1279.61,1109113
20180617,000000,1278.22,1284.03,1261.30,1269.32,1017267
20180624,000000,1270.09,1272.55,1245.86,1253.00,1119097
20180701,000000,1251.94,1261.08,1237.89,1254.94,932711
20180708,000000,1255.37,1265.89,1236.31,1241.55,823814
20180715,000000,1240.89,1245.54,1211.50,1231.62,938418
20180722,000000,1231.01,1235.19,1217.52,1223.01,923770
20180729,000000,1222.65,1228.53,1204.44,1213.41,822583
20180805,000000,1213.61,1217.86,1205.72,1211.48,798101
20180812,000000,1210.74,1213.81,1160.21,1184.73,958923
20180819,000000,1183.28,1208.52,1182.75,1205.81,898616
20180826,000000,1207.21,1214.26,1196.27,1201.13,962890
20180902,000000,1200.47,1206.96,1189.58,1195.58,947043
20180909,000000,1195.09,1212.61,1187.71,1193.31,869512
20180916,000000,1193.88,1211.04,1191.80,1198.66,981146
20180923,000000,1198.64,1204.14,1180.73,1192.20,963651
20180930,000000,1192.34,1208.27,1184.54,1202.61,1068571
20181007,000000,1203.06,1226.35,1182.96,1217.53,1168639
20181014,000000,1217.51,1233.24,1216.95,1226.02,950148
20181021,000000,1227.26,1243.37,1220.03,1232.92,661662
20181028,000000,1233.81,1237.38,1211.92,1232.42,501182
20181104,000000,1232.81,1236.52,1206.68,1209.28,485805
20181111,000000,1208.98,1225.23,1196.23,1221.04,498357
20181118,000000,1222.06,1229.98,1217.92,1222.52,365811
20181125,000000,1223.43,1228.95,1211.16,1222.12,389286
20181202,000000,1222.81,1249.99,1221.28,1248.10,483077
20181209,000000,1249.65,1250.82,1232.90,1237.86,523123
20181216,000000,1239.02,1266.44,1235.74,1255.68,574373
20181223,000000,1257.19,1282.11,1257.19,1280.65,267683
20181230,000000,1280.24,1298.50,1276.55,1284.32,300712
20190106,000000,1285.66,1297.04,1279.32,1287.02,345637
20190113,000000,1287.65,1295.80,1280.57,1281.16,293489
20190120,000000,1281.49,1303.63,1276.72,1302.79,319375
20190127,000000,1301.26,1326.26,1297.58,1317.25,289616
20190203,000000,1317.95,1318.99,1302.74,1313.89,225435
20190210,000000,1313.95,1322.58,1302.31,1320.69,266227
20190217,000000,1321.08,1346.67,1320.58,1327.55,297958
20190224,000000,1329.06,1332.53,1290.13,1293.09,421622
20190303,000000,1293.07,1300.76,1280.76,1298.05,420574
20190310,000000,1297.79,1311.20,1290.46,1301.77,466044
20190317,000000,1302.32,1320.36,1298.24,1312.92,388582
20190324,000000,1313.72,1324.50,1286.67,1291.59,322138
20190331,000000,1292.11,1296.98,1280.83,1291.58,401233
20190407,000000,1291.47,1310.54,1289.54,1290.58,255894
20190414,000000,1291.08,1291.91,1271.12,1275.50,211448
20190421,000000,1275.83,1288.70,1266.24,1286.07,247310
20190428,000000,1286.38,1287.26,1266.23,1279.10,282755
20190505,000000,1280.53,1291.47,1276.96,1285.74,342597
20190512,000000,1287.52,1303.26,1274.77,1277.59,295169
20190519,000000,1277.46,1287.31,1269.44,1284.82,250726
20190526,000000,1284.58,1306.95,1274.98,1305.21,285886
20190602,000000,1307.33,1348.26,1305.88,1340.30,430852
20190609,000000,1336.48,1358.15,1319.86,1341.04,384073
20190616,000000,1341.77,1411.80,1332.96,1398.83,592527
20190623,000000,1400.07,1439.24,1398.61,1409.90,684305
20190630,000000,1398.39,1437.66,1381.76,1398.32,558029
20190707,000000,1398.84,1427.14,1385.67,1415.02,458540
20190714,000000,1415.41,1452.89,1400.04,1424.90,510731
20190721,000000,1427.39,1433.76,1411.03,1418.55,468857
20190728,000000,1418.91,1448.70,1400.47,1440.49,519501
20190804,000000,1439.61,1510.36,1436.66,1497.05,721463
20190811,000000,1497.50,1535.02,1479.80,1512.49,747982
20190818,000000,1512.29,1530.22,1492.45,1526.32,528282
20190825,000000,1542.34,1555.05,1516.96,1520.66,698503
20190901,000000,1525.76,1557.01,1502.50,1506.47,679937
20190908,000000,1506.74,1524.16,1484.48,1488.55,549616
20190915,000000,1504.09,1517.04,1482.82,1516.27,547204
20190922,000000,1513.84,1535.66,1486.82,1496.61,541487
20190929,000000,1494.91,1519.51,1459.06,1504.50,601349
20191006,000000,1512.66,1517.01,1473.96,1487.93,670992
20191013,000000,1486.96,1498.40,1477.00,1489.93,592672
20191020,000000,1491.37,1517.96,1480.81,1504.16,510296
20191027,000000,1502.52,1516.12,1481.11,1513.90,528895
20191103,000000,1512.77,1514.80,1456.15,1458.72,544291
20191110,000000,1459.37,1474.58,1445.60,1467.39,540284
20191117,000000,1467.04,1478.77,1456.30,1461.81,529823
20191124,000000,1460.46,1466.56,1450.05,1463.86,349103
20191201,000000,1464.14,1484.04,1453.92,1459.53,501010
20191208,000000,1459.53,1486.72,1458.10,1475.44,492779
20191215,000000,1475.21,1481.67,1470.41,1477.95,379531
20191222,000000,1477.86,1515.32,1477.38,1510.63,278559
20191229,000000,1511.05,1553.46,1510.73,1551.44,368907
20200105,000000,1559.74,1611.34,1540.19,1561.76,711421
20200112,000000,1561.74,1561.75,1535.95,1556.83,498666
20200119,000000,1556.32,1575.94,1546.29,1570.90,487672
20200126,000000,1580.71,1590.48,1563.34,1588.83,618715
20200202,000000,1593.08,1593.36,1547.37,1570.00,565311
20200209,000000,1571.87,1585.00,1561.91,1583.69,513265
